date,calories,protein_g,carbs_g,fat_g,fiber_g,final
2026-09-12,2578,160,310,87,39,yes
2026-09-13,2398,158,297,72,45,yes
2026-09-14,2575,188,342,58,32,yes
2026-09-15,2551,181,308,73,31,yes
2026-09-16,2530,177,286,81,33,yes
2026-09-17,2524,188,320,62,32,yes
2026-09-18,2498,136,352,51,28,yes
2026-09-19,2944,103,242,159,13,yes
2026-09-20,3057,133,311,133,29,yes
2026-09-21,2900,120,372,90,35,yes
2026-09-22,2168,138,215,82,21,yes
2026-09-23,2210,167,243,75,40,yes
2026-09-24,2456,160,287,85,51,yes
2026-09-25,2494,158,353,60,48,yes
2026-09-26,579,45,43,25,8,no
